,Title,Genre,Duration,Rating,voting
1,Eden,adventure,2h 9m,6.5, 40K
2,Dune: Part Two,adventure,2h 46m,8.4, 717K
3,Deadpool & Wolverine,adventure,2h 8m,7.5, 556K
4,The Wild Robot,adventure,1h 42m,8.2, 215K
5,Gladiator II,adventure,2h 28m,6.5, 290K
6,Twisters,adventure,2h 2m,6.5, 192K
7,Furiosa: A Mad Max Saga,adventure,2h 28m,7.5, 316K
8,Kraven the Hunter,adventure,2h 7m,5.5, 79K
9,Freaky Tales,adventure,1h 47m,6.2, 17K
10,Flow,adventure,1h 25m,7.9, 123K
11,Ghostbusters: Frozen Empire,adventure,1h 55m,6.1, 104K
12,The Count of Monte-Cristo,adventure,2h 58m,7.6, 47K
13,Bad Boys: Ride or Die,adventure,1h 55m,6.5, 111K
14,Inside Out 2,adventure,1h 36m,7.5, 245K
15,Kung Fu Panda 4,adventure,1h 34m,6.3, 79K
16,Borderlands,adventure,1h 41m,4.7, 56K
17,Despicable Me 4,adventure,1h 34m,6.2, 76K
18,Moana 2,adventure,1h 40m,6.3, 123K
19,Sonic the Hedgehog 3,adventure,1h 50m,6.9, 78K
20,Damsel,adventure,1h 50m,6.1, 118K
21,Kingdom of the Planet of the Apes,adventure,2h 25m,6.8, 166K
22,Transformers One,adventure,1h 44m,7.6, 63K
23,Godzilla x Kong: The New Empire,adventure,1h 55m,6.0, 133K
24,Red One,adventure,2h 3m,6.2, 158K
25,The Return,adventure,1h 56m,6.3, 14K
26,Hellboy: The Crooked Man,adventure,1h 39m,4.5, 17K
27,Spaceman,adventure,1h 47m,5.7, 47K
28,Mufasa: The Lion King,adventure,1h 58m,6.6, 81K
29,The Lord of the Rings: The War of the Rohirrim,adventure,2h 14m,6.3, 39K
30,The Unholy Trinity,adventure,1h 35m,5.5, 6K
31,Paddington in Peru,adventure,1h 46m,6.6, 34K
32,Rebel Moon - Part Two: The Scargiver,adventure,2h 2m,5.3, 63K
33,Sketch,adventure,1h 33m,6.6, 5.7K
34,The Day the Earth Blew Up: A Looney Tunes Movie,adventure,1h 31m,6.8, 8.5K
35,Arthur the King,adventure,1h 47m,7.0, 38K
36,The Garfield Movie,adventure,1h 41m,5.7, 27K
37,Attack on Titan the Movie: The Last Attack,adventure,2h 25m,9.2, 25K
38,Atlas,adventure,1h 58m,5.6, 59K
39,Monster Summer,adventure,1h 37m,5.7, 7K
40,No Way Up,adventure,1h 30m,4.6, 12K
41,Anaconda,adventure,1h 24m,4.8, 1.2K
42,Uglies,adventure,1h 40m,4.7, 36K
43,Sasquatch Sunset,adventure,1h 28m,5.4, 6.1K
44,Descendants: The Rise of Red,adventure,1h 35m,4.7, 8.1K
45,Kalki 2898 AD,adventure,3h,7.0, 75K
46,Wallace & Gromit: Vengeance Most Fowl,adventure,1h 22m,7.5, 41K
47,Solo Leveling: ReAwakening,adventure,2h 1m,8.7, 16K
48,Orion and the Dark,adventure,1h 33m,6.3, 19K
49,Badland Hunters,adventure,1h 47m,6.0, 13K
50,Woodwalkers,adventure,1h 43m,5.0, 1.1K
51,Spellbound,adventure,1h 49m,5.5, 8.8K
52,Harold and the Purple Crayon,adventure,1h 30m,5.7, 9.9K
53,Lost on a Mountain in Maine,adventure,1h 38m,6.1, 2.7K
54,Winner,adventure,1h 43m,6.5, 3.3K
55,Bookworm,adventure,1h 43m,6.0, 2.7K
56,The Trail,adventure,1h 20m,4.5, 641
57,Sunlight,adventure,1h 36m,6.6, 438
58,Manjummel Boys,adventure,2h 15m,8.2, 33K
59,Survive,adventure,1h 30m,4.6, 4.5K
60,River of Blood,adventure,1h 26m,4.6, 2.8K
61,Escape,adventure,1h 34m,6.4, 2.7K
62,Please Don't Feed the Children,adventure,1h 33m,4.6, 1.7K
63,Justice League: Crisis on Infinite Earths - Part Three,adventure,1h 34m,6.1, 5.6K
64,My Penguin Friend,adventure,1h 37m,6.8, 7K
65,Cult Killer,adventure,1h 45m,4.8, 3.3K
66,Bureau 749,adventure,2h 3m,3.9, 758
67,Dragonkeeper,adventure,1h 38m,5.8, 2.2K
68,The Courier,adventure,1h 41m,6.1, 5.7K
69,Gunner,adventure,1h 46m,3.1, 3.3K
70,The Goat Life,adventure,2h 53m,7.1, 50K
71,The Great Lillian Hall,adventure,1h 50m,7.3, 2.4K
72,Escape from the 21st Century,adventure,1h 38m,6.4, 1.5K
73,Ultraman: Rising,adventure,1h 57m,6.9, 7.3K
74,My Hero Academia: You're Next,adventure,1h 50m,7.0, 3.7K
75,The Best Christmas Pageant Ever,adventure,1h 39m,6.8, 8.4K
76,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,adventure,1h 44m,7.3, 11K
77,Family Pack,adventure,1h 34m,5.5, 11K
78,Buffalo Kids,adventure,1h 21m,6.6, 1K
79,The Traveller,adventure,2h 14m,5.3, 282
80,Megamind vs. The Doom Syndicate,adventure,1h 23m,2.4, 6.2K
81,The Wages of Fear,adventure,1h 44m,4.6, 4.5K
82,Overlord: The Sacred Kingdom,adventure,2h 15m,6.9, 2K
83,Robin and the Hoods,adventure,1h 40m,4.3, 627
84,Something in the Water,adventure,1h 26m,4.1, 5.7K
85,Sixty Minutes,adventure,1h 28m,5.7, 5.6K
86,Devara Part 1,adventure,2h 56m,6.0, 23K
87,Angels Fallen: Warriors of Peace,adventure,1h 43m,3.7, 6.6K
88,Justice League: Crisis on Infinite Earths - Part Two,adventure,1h 34m,5.6, 6.4K
89,Trifole,adventure,1h 41m,6.2, 133
90,Saving Bikini Bottom: The Sandy Cheeks Movie,adventure,1h 22m,3.6, 4.6K
91,Night of the Zoopocalypse,adventure,1h 31m,6.0, 1.8K
92,That Christmas,adventure,1h 31m,6.8, 20K
93,Justice League: Crisis on Infinite Earths - Part One,adventure,1h 33m,6.2, 9.7K
94,76 Days Adrift,adventure,1h 45m,8.9, 10
95,Shrek 5: The Contract - A Fan Made Film,adventure,1h 24m,7.3, 34
