,Title,Genre,Duration,Rating,voting
1,Eden,Adventure,2h 9m,6.5, 40K
2,Dune: Part Two,Adventure,2h 46m,8.4, 717K
3,Deadpool & Wolverine,Adventure,2h 8m,7.5, 556K
4,The Wild Robot,Adventure,1h 42m,8.2, 215K
5,Gladiator II,Adventure,2h 28m,6.5, 290K
6,Twisters,Adventure,2h 2m,6.5, 192K
7,Furiosa: A Mad Max Saga,Adventure,2h 28m,7.5, 316K
8,Kraven the Hunter,Adventure,2h 7m,5.5, 79K
9,Freaky Tales,Adventure,1h 47m,6.2, 17K
10,Flow,Adventure,1h 25m,7.9, 123K
11,Ghostbusters: Frozen Empire,Adventure,1h 55m,6.1, 104K
12,The Count of Monte-Cristo,Adventure,2h 58m,7.6, 47K
13,Bad Boys: Ride or Die,Adventure,1h 55m,6.5, 111K
14,Inside Out 2,Adventure,1h 36m,7.5, 245K
15,Kung Fu Panda 4,Adventure,1h 34m,6.3, 79K
16,Borderlands,Adventure,1h 41m,4.7, 56K
17,Despicable Me 4,Adventure,1h 34m,6.2, 76K
18,Moana 2,Adventure,1h 40m,6.3, 123K
19,Sonic the Hedgehog 3,Adventure,1h 50m,6.9, 78K
20,Damsel,Adventure,1h 50m,6.1, 118K
21,Kingdom of the Planet of the Apes,Adventure,2h 25m,6.8, 166K
22,Transformers One,Adventure,1h 44m,7.6, 63K
23,Godzilla x Kong: The New Empire,Adventure,1h 55m,6.0, 133K
24,Red One,Adventure,2h 3m,6.2, 158K
25,The Return,Adventure,1h 56m,6.3, 14K
26,Hellboy: The Crooked Man,Adventure,1h 39m,4.5, 17K
27,Spaceman,Adventure,1h 47m,5.7, 47K
28,Mufasa: The Lion King,Adventure,1h 58m,6.6, 81K
29,The Lord of the Rings: The War of the Rohirrim,Adventure,2h 14m,6.3, 39K
30,The Unholy Trinity,Adventure,1h 35m,5.5, 6K
31,Paddington in Peru,Adventure,1h 46m,6.6, 34K
32,Rebel Moon - Part Two: The Scargiver,Adventure,2h 2m,5.3, 63K
33,Sketch,Adventure,1h 33m,6.6, 5.7K
34,The Day the Earth Blew Up: A Looney Tunes Movie,Adventure,1h 31m,6.8, 8.5K
35,Arthur the King,Adventure,1h 47m,7.0, 38K
36,The Garfield Movie,Adventure,1h 41m,5.7, 27K
37,Attack on Titan the Movie: The Last Attack,Adventure,2h 25m,9.2, 25K
38,Atlas,Adventure,1h 58m,5.6, 59K
39,Monster Summer,Adventure,1h 37m,5.7, 7K
40,No Way Up,Adventure,1h 30m,4.6, 12K
41,Anaconda,Adventure,1h 24m,4.8, 1.2K
42,Uglies,Adventure,1h 40m,4.7, 36K
43,Sasquatch Sunset,Adventure,1h 28m,5.4, 6.1K
44,Descendants: The Rise of Red,Adventure,1h 35m,4.7, 8.1K
45,Kalki 2898 AD,Adventure,3h,7.0, 75K
46,Wallace & Gromit: Vengeance Most Fowl,Adventure,1h 22m,7.5, 41K
47,Solo Leveling: ReAwakening,Adventure,2h 1m,8.7, 16K
48,Orion and the Dark,Adventure,1h 33m,6.3, 19K
49,Badland Hunters,Adventure,1h 47m,6.0, 13K
50,Woodwalkers,Adventure,1h 43m,5.0, 1.1K
51,Spellbound,Adventure,1h 49m,5.5, 8.8K
52,Harold and the Purple Crayon,Adventure,1h 30m,5.7, 9.9K
53,Lost on a Mountain in Maine,Adventure,1h 38m,6.1, 2.7K
54,Winner,Adventure,1h 43m,6.5, 3.3K
55,Bookworm,Adventure,1h 43m,6.0, 2.7K
56,The Trail,Adventure,1h 20m,4.5, 641
57,Sunlight,Adventure,1h 36m,6.6, 438
58,Manjummel Boys,Adventure,2h 15m,8.2, 33K
59,Survive,Adventure,1h 30m,4.6, 4.5K
60,River of Blood,Adventure,1h 26m,4.6, 2.8K
61,Escape,Adventure,1h 34m,6.4, 2.7K
62,Please Don't Feed the Children,Adventure,1h 33m,4.6, 1.7K
63,Justice League: Crisis on Infinite Earths - Part Three,Adventure,1h 34m,6.1, 5.6K
64,My Penguin Friend,Adventure,1h 37m,6.8, 7K
65,Cult Killer,Adventure,1h 45m,4.8, 3.3K
66,Bureau 749,Adventure,2h 3m,3.9, 758
67,Dragonkeeper,Adventure,1h 38m,5.8, 2.2K
68,The Courier,Adventure,1h 41m,6.1, 5.7K
69,Gunner,Adventure,1h 46m,3.1, 3.3K
70,The Goat Life,Adventure,2h 53m,7.1, 50K
71,The Great Lillian Hall,Adventure,1h 50m,7.3, 2.4K
72,Escape from the 21st Century,Adventure,1h 38m,6.4, 1.5K
73,Ultraman: Rising,Adventure,1h 57m,6.9, 7.3K
74,My Hero Academia: You're Next,Adventure,1h 50m,7.0, 3.7K
75,The Best Christmas Pageant Ever,Adventure,1h 39m,6.8, 8.4K
76,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Adventure,1h 44m,7.3, 11K
77,Family Pack,Adventure,1h 34m,5.5, 11K
78,Buffalo Kids,Adventure,1h 21m,6.6, 1K
79,The Traveller,Adventure,2h 14m,5.3, 282
80,Megamind vs. The Doom Syndicate,Adventure,1h 23m,2.4, 6.2K
81,The Wages of Fear,Adventure,1h 44m,4.6, 4.5K
82,Overlord: The Sacred Kingdom,Adventure,2h 15m,6.9, 2K
83,Robin and the Hoods,Adventure,1h 40m,4.3, 627
84,Something in the Water,Adventure,1h 26m,4.1, 5.7K
85,Sixty Minutes,Adventure,1h 28m,5.7, 5.6K
86,Devara Part 1,Adventure,2h 56m,6.0, 23K
87,Angels Fallen: Warriors of Peace,Adventure,1h 43m,3.7, 6.6K
88,Justice League: Crisis on Infinite Earths - Part Two,Adventure,1h 34m,5.6, 6.4K
89,Trifole,Adventure,1h 41m,6.2, 133
90,Saving Bikini Bottom: The Sandy Cheeks Movie,Adventure,1h 22m,3.6, 4.6K
91,Night of the Zoopocalypse,Adventure,1h 31m,6.0, 1.8K
92,That Christmas,Adventure,1h 31m,6.8, 20K
