,Title,Genre,Duration,Rating,voting
1,A Complete Unknown,biography,2h 21m,7.3, 114K
2,I'm Still Here,biography,2h 17m,8.1, 145K
3,The Apprentice,biography,2h 2m,7.1, 72K
4,Queer,biography,2h 17m,6.3, 29K
5,Back to Black,biography,2h 2m,6.3, 30K
6,William Tell,biography,2h 14m,5.7, 7.3K
7,Ordinary Angels,biography,1h 58m,7.4, 19K
8,Saturday Night,biography,1h 49m,6.9, 38K
9,Better Man,biography,2h 15m,7.5, 44K
10,Rob Peace,biography,2h,6.6, 2.8K
11,The Luckiest Man in America,biography,1h 31m,6.2, 7.6K
12,The Outrun,biography,1h 58m,6.9, 21K
13,Scoop,biography,1h 42m,6.5, 22K
14,Queen of the Ring,biography,2h 20m,6.4, 3.1K
15,Maria,biography,2h 4m,6.4, 25K
16,Nr. 24,biography,1h 51m,7.5, 20K
17,Unfrosted,biography,1h 37m,5.5, 37K
18,Young Woman and the Sea,biography,2h 9m,7.5, 20K
19,Bob Marley: One Love,biography,1h 47m,6.2, 39K
20,Joy,biography,1h 55m,7.1, 12K
21,Reagan,biography,2h 21m,6.2, 13K
22,The Remarkable Life of Ibelin,biography,1h 43m,8.1, 15K
23,Cabrini,biography,2h 22m,7.3, 9.9K
24,Winner,biography,1h 43m,6.5, 3.3K
25,Unsung Hero,biography,1h 53m,7.0, 5.7K
26,Monsieur Aznavour,biography,2h 13m,7.2, 4.1K
27,Piece by Piece,biography,1h 33m,6.9, 7.5K
28,Pavements,biography,2h 8m,7.0, 1.1K
29,Undercover,biography,1h 58m,7.1, 6K
30,Amaran,biography,2h 47m,8.1, 24K
31,Music by John Williams,biography,1h 45m,8.2, 5.9K
32,Race for Glory: Audi vs. Lancia,biography,1h 49m,5.8, 5.9K
33,Riefenstahl,biography,1h 55m,7.2, 1.8K
34,One to One: John & Yoko,biography,1h 41m,7.2, 1.6K
35,Avicii - I'm Tim,biography,1h 35m,7.7, 8.3K
36,Amar Singh Chamkila,biography,2h 25m,7.8, 17K
