,Title,Genre,Duration,Rating,voting
1,IF,family,1h 44m,6.4,
2,The Wild Robot,family,1h 42m,8.2,
3,Flow,family,1h 25m,7.9,
4,Inside Out 2,family,1h 36m,7.5,
5,Kung Fu Panda 4,family,1h 34m,6.3,
6,Despicable Me 4,family,1h 34m,6.2,
7,Moana 2,family,1h 40m,6.3,
8,Sonic the Hedgehog 3,family,1h 50m,6.9,
9,Transformers One,family,1h 44m,7.6,
10,Young Hearts,family,1h 39m,7.9,
11,Mufasa: The Lion King,family,1h 58m,6.6,
12,Paddington in Peru,family,1h 46m,6.6,
13,How to Make Millions Before Grandma Dies,family,2h 5m,7.9,
14,Sketch,family,1h 33m,6.6,
15,The Day the Earth Blew Up: A Looney Tunes Movie,family,1h 31m,6.8,
16,Big World,family,2h 11m,7.4,
17,The Garfield Movie,family,1h 41m,5.7,
18,Girl Haunts Boy,family,1h 40m,6.3,
19,Descendants: The Rise of Red,family,1h 35m,4.7,
20,Wallace & Gromit: Vengeance Most Fowl,family,1h 22m,7.5,
21,The Forge,family,2h 4m,6.8,
22,Orion and the Dark,family,1h 33m,6.3,
23,Woodwalkers,family,1h 43m,5.0,
24,Spellbound,family,1h 49m,5.5,
25,Harold and the Purple Crayon,family,1h 30m,5.7,
26,Lost on a Mountain in Maine,family,1h 38m,6.1,
27,Unsung Hero,family,1h 53m,7.0,
28,Piece by Piece,family,1h 33m,6.9,
29,My Penguin Friend,family,1h 37m,6.8,
30,Meiyazhagan,family,2h 57m,8.5,
31,Ultraman: Rising,family,1h 57m,6.9,
32,The Thundermans Return,family,1h 10m,5.0,
33,Buffalo Kids,family,1h 21m,6.6,
34,Megamind vs. The Doom Syndicate,family,1h 23m,2.4,
35,Faith of Angels,family,1h 38m,6.2,
36,Robin and the Hoods,family,1h 40m,4.3,
37,Panda Plan,family,1h 39m,5.1,
38,You Gotta Believe,family,1h 44m,5.9,
39,Saving Bikini Bottom: The Sandy Cheeks Movie,family,1h 22m,3.6,
40,Cup,family,2h 26m,8.5,
41,Night of the Zoopocalypse,family,1h 31m,6.0,
42,That Christmas,family,1h 31m,6.8,
43,Paper Flowers,family,1h 40m,7.8,
44,Daye: Seret ahl el Daye,family,1h 44m,7.5,
45,A Sudden Case of Christmas,family,1h 31m,5.1,
46,Man and Witch: The Dance of a Thousand Steps,family,1h 34m,5.6,
47,Thelma the Unicorn,family,1h 33m,5.7,
48,Obraz,family,1h 35m,7.9,
49,Saint Nick of Bethlehem,family,1h 33m,6.9,
50,Laggam,family,2h 10m,8.3,
