,Title,Genre,Duration,Rating,voting
1,The Life of Chuck,fantasy,1h 51m,7.3, 60K
2,Nosferatu,fantasy,2h 12m,7.1, 260K
3,IF,fantasy,1h 44m,6.4, 65K
4,Wicked,fantasy,2h 40m,7.3, 225K
5,Flow,fantasy,1h 25m,7.9, 123K
6,Ghostbusters: Frozen Empire,fantasy,1h 55m,6.1, 104K
7,The Watchers,fantasy,1h 42m,5.7, 68K
8,Venom: The Last Dance,fantasy,1h 50m,6.0, 151K
9,Inside Out 2,fantasy,1h 36m,7.5, 245K
10,Kung Fu Panda 4,fantasy,1h 34m,6.3, 79K
11,Beetlejuice Beetlejuice,fantasy,1h 45m,6.6, 171K
12,Moana 2,fantasy,1h 40m,6.3, 123K
13,Sonic the Hedgehog 3,fantasy,1h 50m,6.9, 78K
14,Damsel,fantasy,1h 50m,6.1, 118K
15,Megalopolis,fantasy,2h 18m,4.7, 41K
16,Transformers One,fantasy,1h 44m,7.6, 63K
17,Godzilla x Kong: The New Empire,fantasy,1h 55m,6.0, 133K
18,Nightbitch,fantasy,1h 39m,5.5, 24K
19,Parthenope,fantasy,2h 17m,6.5, 20K
20,Red One,fantasy,2h 3m,6.2, 158K
21,40 Acres,fantasy,1h 53m,6.5, 6.1K
22,Hellboy: The Crooked Man,fantasy,1h 39m,4.5, 17K
23,Better Man,fantasy,2h 15m,7.5, 44K
24,The Lord of the Rings: The War of the Rohirrim,fantasy,2h 14m,6.3, 39K
25,Mahavatar Narsimha,fantasy,2h 10m,8.5, 45K
26,The Wonderful Story of Henry Sugar and Three More,fantasy,1h 28m,7.1, 12K
27,The Crow,fantasy,1h 51m,4.7, 41K
28,Rebel Moon - Part Two: The Scargiver,fantasy,2h 2m,5.3, 63K
29,Sketch,fantasy,1h 33m,6.6, 5.7K
30,The Garfield Movie,fantasy,1h 41m,5.7, 27K
31,Girl Haunts Boy,fantasy,1h 40m,6.3, 3.9K
32,Monster Summer,fantasy,1h 37m,5.7, 7K
33,Uglies,fantasy,1h 40m,4.7, 36K
34,The Tearsmith,fantasy,1h 43m,5.2, 14K
35,Descendants: The Rise of Red,fantasy,1h 35m,4.7, 8.1K
36,The End,fantasy,2h 28m,5.4, 3.2K
37,The Master and Margarita,fantasy,2h 36m,7.1, 6.6K
38,Solo Leveling: ReAwakening,fantasy,2h 1m,8.7, 16K
39,Went Up the Hill,fantasy,1h 40m,5.4, 470
40,Orion and the Dark,fantasy,1h 33m,6.3, 19K
