Unnamed: 0,Title,Genre,Duration,Rating,voting
1,Eden,adventure,129,6.5,40000
2,Dune: Part Two,adventure,166,8.4,717000
3,Deadpool & Wolverine,adventure,128,7.5,556000
4,The Wild Robot,adventure,102,8.2,215000
5,Gladiator II,adventure,148,6.5,290000
6,Twisters,adventure,122,6.5,192000
7,Furiosa: A Mad Max Saga,adventure,148,7.5,316000
8,Kraven the Hunter,adventure,127,5.5,79000
9,Freaky Tales,adventure,107,6.2,17000
10,Flow,adventure,85,7.9,123000
11,Ghostbusters: Frozen Empire,adventure,115,6.1,104000
12,The Count of Monte-Cristo,adventure,178,7.6,47000
13,Bad Boys: Ride or Die,adventure,115,6.5,111000
14,Inside Out 2,adventure,96,7.5,245000
15,Kung Fu Panda 4,adventure,94,6.3,79000
16,Borderlands,adventure,101,4.7,56000
17,Despicable Me 4,adventure,94,6.2,76000
18,Moana 2,adventure,100,6.3,123000
19,Sonic the Hedgehog 3,adventure,110,6.9,78000
20,Damsel,adventure,110,6.1,118000
21,Kingdom of the Planet of the Apes,adventure,145,6.8,166000
22,Transformers One,adventure,104,7.6,63000
23,Godzilla x Kong: The New Empire,adventure,115,6.0,133000
24,Red One,adventure,123,6.2,158000
25,The Return,adventure,116,6.3,14000
26,Hellboy: The Crooked Man,adventure,99,4.5,17000
27,Spaceman,adventure,107,5.7,47000
28,Mufasa: The Lion King,adventure,118,6.6,81000
29,The Lord of the Rings: The War of the Rohirrim,adventure,134,6.3,39000
30,The Unholy Trinity,adventure,95,5.5,6000
31,Paddington in Peru,adventure,106,6.6,34000
32,Rebel Moon - Part Two: The Scargiver,adventure,122,5.3,63000
33,Sketch,adventure,93,6.6,5
34,The Day the Earth Blew Up: A Looney Tunes Movie,adventure,91,6.8,8
35,Arthur the King,adventure,107,7.0,38000
36,The Garfield Movie,adventure,101,5.7,27000
37,Attack on Titan the Movie: The Last Attack,adventure,145,9.2,25000
38,Atlas,adventure,118,5.6,59000
39,Monster Summer,adventure,97,5.7,7000
40,No Way Up,adventure,90,4.6,12000
41,Anaconda,adventure,84,4.8,1
42,Uglies,adventure,100,4.7,36000
43,Sasquatch Sunset,adventure,88,5.4,6
44,Descendants: The Rise of Red,adventure,95,4.7,8
45,Kalki 2898 AD,adventure,180,7.0,75000
46,Wallace & Gromit: Vengeance Most Fowl,adventure,82,7.5,41000
47,Solo Leveling: ReAwakening,adventure,121,8.7,16000
48,Orion and the Dark,adventure,93,6.3,19000
